EL_CYCLE,FROM_STMT,TO_STMT,OFFICE,CAND_NAME,CAND_ID,BORO_DIST,TERMND,CNTRS_NO,CNTNS_NO,NET_CNTNS,MATCH_AMT,I_NO,I_CNTNS_NO,I_AMT,SML_NO,SML_AMT,PUBFND_PMT,NET_EXPND,CAND_CLASS,MAX_NO,MAX_AMT,LIMIT,NAME_1
2001,1,15,1,"Badillo, Herman (ID:81-P)",81,(),false,2035,2191,543671,146378,1,4,40,1638,95584,356723,659919,P,39,177000,4500,241163
2001,1,15,1,"Cohen, Mitchel (ID:JH-P) *",JH,(),true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,4500,0
2001,1,15,1,"Ferrer, Fernando (ID:AY-P)",AY,(),false,6562,8298,5415381,698034,172,2196,1541664,3508,590726,2871933,8719800,P,369,1935646,4500,0
2001,1,15,1,"Fulani, Lenora (ID:FR-P) *",FR,(),true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,4500,0
2001,1,15,1,"Golding, Kenneth (ID:562-P)",562,(),false,0,0,0,0,0,0,0,0,0,0,13536,P,0,0,4500,0
2001,1,15,1,"Green, Mark (ID:A7-P)",A7,(),false,9594,13536,11232542,1028322,109,1082,1464132,4695,590091,4534230,16219861,P,1068,5555492,4500,65687
2001,1,15,1,"Gronowicz, Anthony (ID:581-P) *",581,(),true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,4500,0
2001,1,15,1,"Hevesi, Alan (ID:A9-P)",A9,(),false,9524,12725,7182254,811856,270,4920,3211188,5113,567532,2641247,6270385,P,518,2547080,4500,0
2001,1,15,1,"Hewes, Henry (ID:573-P) *",573,(),true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,4500,0
2001,1,15,1,"Iwachiw, Walter (ID:494-P) *",494,(),true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,4500,0
2001,1,15,1,"Kramer, Kenny (ID:GA-P)",GA,(),false,124,135,17077,5617,0,0,0,119,7477,0,14431,P,1,4500,4500,26
2001,1,15,1,"Leighton, Thomas (ID:K1-P)",K1,(),false,4,4,500,200,0,0,0,4,500,0,836,P,0,0,4500,0
2001,1,15,1,"McMillan, Jimmy (ID:D4-P) *",D4,(),true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,4500,0
2001,1,15,1,"Ruano-Melendez, Eric (ID:BF-P) *",BF,(),true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,4500,0
2001,1,15,1,"Spitz, George (ID:Y3-P)",Y3,(),false,21,21,6029,2300,0,0,0,15,1550,0,4925,P,0,0,4500,319
2001,1,15,1,"Vallone, Peter (ID:B1-P)",B1,(),false,5494,7138,4744405,672336,138,2225,1491048,2899,536494,2458534,6297360,P,307,1599949,4500,100
2001,1,15,1,"Willebrand, Julia (ID:568-P)",568,(),false,172,207,8658,7281,0,0,0,165,7033,0,7396,P,0,0,4500,369
2001,1,15,2,"Colon, Willie (ID:366-P)",366,(),false,142,155,75610,0,0,0,0,121,12035,0,77317,P,4,52800,4500,26550
2001,1,15,2,"DiBrienza, Stephen (ID:C4-P)",C4,(),false,3020,4252,735659,293715,20,274,64045,2514,237844,1336655,2057507,P,16,78455,4500,5736
2001,1,15,2,"Flaxman, Sheila (ID:373-P)",373,(),false,28,26,1812,0,0,0,0,21,1312,0,1812,P,0,0,4500,586
2001,1,15,2,"Freed, Kathryn (ID:C7-P)",C7,(),false,1539,2140,524064,171208,6,53,53150,1162,148855,626484,1136560,P,22,105458,4500,14729
2001,1,15,2,"Gotbaum, Betsy (ID:263-P)",263,(),false,2136,3002,1763942,353800,14,170,72750,1231,200955,1625090,3395665,P,122,687250,4500,28754
2001,1,15,2,"Murawski, Bill (ID:ES-P) *",ES,(),true,20,23,7322,1109,0,0,0,18,1599,0,2841,P,1,4525,4500,5188
2001,1,15,2,"Siegel, Norman (ID:310-P)",310,(),false,1756,2221,572515,142408,16,167,130775,1421,147205,623300,1146735,P,34,179885,4500,56226
2001,1,15,2,"Srdanovic, Anton (ID:567-P) *",567,(),true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,4500,0
2001,1,15,2,"Stringer, Scott (ID:148-P)",148,(),false,2521,3865,1155646,249747,44,201,116830,1869,206082,1223721,2191942,P,73,358450,4500,5286
2001,1,15,2,"Zumbluskas, Michael (ID:FY-P) *",FY,(),true,0,0,0,0,0,0,0,0,0,0,0,P,0,0,4500,0
2001,1,15,3,"Berman, Herbert (ID:HL-P)",HL,(),false,2846,3488,1800352,403885,63,844,469396,1856,345269,1576860,3388690,P,118,558750,4500,52603
2001,1,15,3,"Thompson, Jr., William (ID:260-P)",260,(),false,3361,3950,1870122,312606,22,297,190431,2133,282382,1096359,2893419,P,112,509761,4500,91162
2001,1,15,4,"Carrion, Jr., Adolfo (ID:ED-P)",ED,(Bx),false,1330,1664,521000,123215,20,156,47802,909,126850,431802,1008062,P,14,49000,3500,400
2001,1,15,4,"Eisland, June (ID:HJ-P)",HJ,(Bx),false,774,887,266183,89326,6,25,14850,601,105078,316548,657095,P,7,24500,3500,0
2001,1,15,4,"Espada, Jr., Pedro (ID:WC-P)",WC,(Bx),false,450,555,123552,53302,1,36,1310,349,40307,0,318020,P,4,20500,3500,286807
2001,1,15,4,"Fields, C. Virginia (ID:B6-P)",B6,(M),false,1323,1938,557483,121133,0,0,0,833,84748,444452,961564,P,31,114250,3500,0
2001,1,15,4,"Fields, Jessie (ID:526-P)",526,(M),false,429,617,66166,40740,0,0,0,370,32692,135904,200830,P,1,3500,3500,15075
2001,1,15,4,"Fisher, Kenneth (ID:B8-P)",B8,(Bk),false,2667,3452,981442,230347,31,156,98466,1961,188407,647350,1511733,P,62,224000,3500,0
2001,1,15,4,"Gadson, Jeanette (ID:284-P)",284,(Bk),false,1619,1983,288846,146279,2,63,1306,1395,134876,521969,775687,P,5,17500,3500,36242
2001,1,15,4,"Gresser, Carol (ID:273-P)",273,(Q),false,1473,1774,445286,161625,1,28,9113,1155,143885,596045,1039800,P,16,66500,3500,1432
2001,1,15,4,"Law, Ronald (ID:365-P)",365,(Bx),false,76,77,11464,6030,0,0,0,69,8430,0,9940,P,0,0,3500,148
